"","sample","group"
"1","GSM277495","N"
"2","GSM277496","T"
"3","GSM277497","N"
"4","GSM277498","T"
"5","GSM277499","N"
"6","GSM277500","T"
"7","GSM277501","N"
"8","GSM277502","T"
"9","GSM277503","N"
"10","GSM277504","T"
"11","GSM277505","N"
"12","GSM277506","T"
"13","GSM277507","N"
"14","GSM277508","T"
"15","GSM277509","N"
"16","GSM277510","T"
"17","GSM277511","N"
"18","GSM277512","T"
"19","GSM277513","N"
"20","GSM277514","T"
"21","GSM277515","N"
"22","GSM277516","T"
"23","GSM277517","N"
"24","GSM277518","T"
"25","GSM277519","N"
"26","GSM277520","T"
"27","GSM277521","N"
"28","GSM277522","T"
"29","GSM277523","N"
"30","GSM277524","T"
"31","GSM277525","N"
"32","GSM277526","T"
"33","GSM277527","N"
"34","GSM277528","T"
"35","GSM277529","N"
"36","GSM277530","T"
"37","GSM277531","N"
"38","GSM277532","T"
"39","GSM277533","N"
"40","GSM277534","T"
"41","GSM277535","N"
"42","GSM277536","T"
"43","GSM277537","N"
"44","GSM277538","T"
"45","GSM277539","N"
"46","GSM277540","T"
"47","GSM277541","T"
"48","GSM277542","N"
