"","sample","group"
"1","GSM1923670","T"
"2","GSM1923671","N"
"3","GSM1923672","T"
"4","GSM1923673","N"
"5","GSM1923674","T"
"6","GSM1923675","N"
"7","GSM1923676","T"
"8","GSM1923677","N"
"9","GSM1923678","T"
"10","GSM1923679","N"
"11","GSM1923680","T"
"12","GSM1923681","N"
"13","GSM1923682","T"
"14","GSM1923683","N"
"15","GSM1923684","T"
"16","GSM1923685","N"
"17","GSM1923686","T"
"18","GSM1923687","N"
"19","GSM1923688","T"
"20","GSM1923689","N"
"21","GSM1923690","T"
"22","GSM1923691","N"
"23","GSM1923692","T"
"24","GSM1923693","N"
"25","GSM1923694","T"
"26","GSM1923695","N"
"27","GSM1923696","T"
"28","GSM1923697","N"
"29","GSM1923698","T"
"30","GSM1923699","N"
"31","GSM1923700","T"
"32","GSM1923701","N"
"33","GSM1923702","T"
"34","GSM1923703","N"
"35","GSM1923704","T"
"36","GSM1923705","N"
"37","GSM1923706","T"
"38","GSM1923707","N"
"39","GSM1923708","T"
"40","GSM1923709","N"
"41","GSM1923710","T"
"42","GSM1923711","N"
"43","GSM1923712","T"
"44","GSM1923713","N"
"45","GSM1923714","T"
"46","GSM1923715","N"
"47","GSM1923716","T"
"48","GSM1923717","N"
"49","GSM1923718","T"
"50","GSM1923719","N"
"51","GSM1923720","T"
"52","GSM1923721","N"
"53","GSM1923722","T"
"54","GSM1923723","N"
"55","GSM1923724","T"
"56","GSM1923725","N"
"57","GSM1923726","T"
"58","GSM1923727","N"
"59","GSM1923728","T"
"60","GSM1923729","N"
