"","sample","group"
"1","GSM4224323","N"
"2","GSM4224324","T"
"3","GSM4224325","N"
"4","GSM4224326","T"
"5","GSM4224327","N"
"6","GSM4224328","T"
"7","GSM4224329","N"
"8","GSM4224330","T"
"9","GSM4224331","N"
"10","GSM4224332","T"
"11","GSM4224333","N"
"12","GSM4224334","T"
"13","GSM4224335","N"
"14","GSM4224336","T"
"15","GSM4224337","N"
"16","GSM4224338","T"
"17","GSM4224339","N"
"18","GSM4224340","T"
"19","GSM4224341","N"
"20","GSM4224342","T"
"21","GSM4224343","N"
"22","GSM4224344","T"
"23","GSM4224345","N"
"24","GSM4224346","T"
"25","GSM4224347","N"
"26","GSM4224348","T"
"27","GSM4224349","N"
"28","GSM4224350","T"
"29","GSM4224351","N"
"30","GSM4224352","T"
"31","GSM4224353","N"
"32","GSM4224354","T"
"33","GSM4224355","N"
"34","GSM4224356","T"
"35","GSM4224357","N"
"36","GSM4224358","T"
"37","GSM4224359","N"
"38","GSM4224360","T"
"39","GSM4224361","N"
"40","GSM4224362","T"
